FILE	CELL	AREA_cell	AREA_nuc	N_total	N_thres_Total	N_thres_Nuc
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_29	8119	8119	45	17	16
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_30	4334	4334	22	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_31	4121	4121	20	3	3
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_32	5472.5	5472.5	34	5	5
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_33	6970	6970	34	9	9
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_34	3620.5	3620.5	20	11	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_35	4636.5	4636.5	21	8	8
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_36	4199	4199	22	11	11
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_37	6090	6090	37	6	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_38	4683	4683	37	7	7
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_39	3831.5	3831.5	15	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_40	3558.5	3558.5	15	7	6
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_41	4851	4851	22	8	8
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_42	3338.5	3338.5	24	4	4
P5-SR--5-clesrsee2h-glox-2-2confocal_outline.txt	Cell_CP_43	7198	7198	29	15	14
